Visuals:	Character:	Section:	Text:	Date response	Player responses:	Points
						
Date 1:	Arms	Neutral		Bye dude.	Later Arminator!	3
		Positive:	Funky	It's been a funky experience!	See you never Arms.	-3
			Mystery	You're a mystery I'd love to solve!	Alarms Arms! Love is in the air!	5
			Unstoppable	Let's get to gether in the ring Unstoppable!		
			Avenging	Well, you can avenge me anytime!		
						
		Negative:	Funky	Well, you sure smell funky.		
			Mystery	You're a mystery I'd hate to solve.		
			Unstoppable	Stop!... You're clearly not unstoppable.		
			Avenging	Please don't ever avenge me.		
						
						
Date 2:	Mr Piggy	Neutral		Move along!	I'll never oink you! 	-3
		Positive:	Death	This is the start of a deadly relationship!	Later Baconator!	-1
			Psycho	i've been looking for a psycho just like you!	 Put me away officer!	3
			Mega	You're a Mega-man! Oink! Oink!		
			Mewing	Sorry kitty! I'm gonna have to take you in!		
						
		Negative:	Death	Death? You're a joke!		
			Psycho	pyschos like you make me sick!		
			Mega	Get out of my face Mega Dork		
			Mewing	Scram cat!		
						
						
Date 3:	King Pretty Guy	Neutral		Farewell.	Until we meet again Sire.	2
		Positive	Mrs	Well Madame! It has been a lark!	Begone false king!	-3
			Mr	Kind sir, I wish to feel your embrace soon!	Till next time my Pretty!	4
			Captain	Steer us together Captain!		
			Dr	When should I see you again Doctor?		
			Sergeant	Let's go to war Sergeant!		
		Negative	Mrs	Farewell Madame!		
			Mr	Farewell Kind Sir!		
			Captain	Steer clear of me Captain.		
			Dr	I think medicine is a lie Doctor.		
			Sergent	Blow yourself up Sergeant.		
						
Date 4:	 Radical Ray	Neutral		Smell ya later!	Later Radenator!	4
		Positive	Biker	Vroom vroom! Let's go Biker!	Smell you never!	-2
			Dad	Rad and Dad?! What a combo!	Any day Rad Ray!	2
			Bro	Us bros gotta stick brogether Bro!		
			Chap	This was a special moment Chap!		
			Master	Damn Master! You mad, bad and rad!		
		Negative	Biker	Wreck yourself before you check yourself Biker!		
			Dad	Rads and Dads just don't mix stupid!		
			Bro	Go Bro yourself.		
			Chap	Sorry Chap dude, it will never work.		
			Master	Random eighties slang Master!		
						
